# g4beamline profile
#Z N meanX sigmaX meanY sigmaY emitX emitY emitTrans betaX betaY betaTrans alphaX alphaY alphaTrans meanP
#mm - mm mm mm mm mm-rad mm-rad mm-rad mm mm mm - - - MeV/c
13900.0 10648 6.804 63.119 6.745 63.266 27.16 27.1 16.24 864.3 868.4 866.3 0.1409 0.1364 0.1386 378.8
14000.0 10645 6.227 61.561 6.831 61.298 21.8 21.72 16.14 832.1 825 828.6 0.1401 0.1533 0.1467 379
14100.0 10646 6.328 60.265 6.167 60.282 17.09 17.27 16.01 806.8 807.2 807 0.03472 0.04926 0.04199 378.8
14200.0 10643 7.186 60.651 4.877 60.774 16.04 16.34 16.01 815.1 818.4 816.7 -0.1091 -0.09073 -0.09991 377.7
14300.0 10625 8.243 62.150 2.813 62.317 19.28 19.62 16.01 852.4 857 854.7 -0.1944 -0.1825 -0.1884 377.3
14400.0 10603 8.782 63.653 -0.189 63.744 24.04 24.33 15.91 896.7 899.2 898 -0.1623 -0.1373 -0.1498 377.5
14500.0 10599 7.800 64.729 -3.709 64.495 26.52 26.64 16.21 909.3 902.7 906 -0.006148 0.0276 0.01072 378
14600.0 10595 5.517 63.477 -6.337 62.901 24.01 23.96 16.15 878.4 862.5 870.5 0.1404 0.1691 0.1547 377.5
14700.0 10601 2.700 61.873 -7.671 61.137 19.43 19.28 16.22 834.2 814.5 824.3 0.1551 0.1594 0.1572 377.4
14800.0 10597 0.711 60.053 -8.121 59.558 16.22 15.99 15.95 801.3 788.2 794.7 0.05754 0.04783 0.05269 377.4
14900.0 10598 -0.489 60.214 -8.444 59.892 17.19 16.96 15.89 804.6 796 800.3 -0.08747 -0.09839 -0.09293 376
15000.0 10587 -0.921 61.713 -9.176 61.399 21.73 21.55 15.87 842 833.5 837.8 -0.1791 -0.1912 -0.1852 375.5
15100.0 10562 -0.231 62.827 -10.067 63.063 26.77 26.72 15.61 883.6 890.3 887 -0.1489 -0.1621 -0.1555 375.8
15200.0 10555 1.306 63.379 -10.610 63.690 29 29.07 15.6 899.1 907.9 903.5 0.001258 0.009214 0.005236 376.2
15300.0 10552 2.671 62.335 -10.459 62.562 26.31 26.59 15.7 865 871.3 868.2 0.1412 0.1472 0.1442 375.6
15400.0 10548 3.237 60.633 -10.007 60.855 21.07 21.33 15.71 822.5 828.6 825.6 0.1478 0.1602 0.154 375.8
15500.0 10555 2.738 59.853 -9.823 59.862 16.76 16.97 15.75 801.8 802 801.9 0.04086 0.04616 0.04351 375.7
15600.0 10549 1.238 60.080 -9.888 60.252 15.89 15.96 15.73 807.3 811.9 809.6 -0.09836 -0.0973 -0.09783 374.6
15700.0 10549 -1.366 62.091 -9.746 62.114 19.6 19.33 15.93 847.1 847.7 847.4 -0.1969 -0.175 -0.1859 373.8
15800.0 10511 -4.203 63.684 -8.358 63.379 24.25 23.93 15.8 896.3 887.7 892 -0.1794 -0.1336 -0.1565 374.5
15900.0 10509 -6.811 64.407 -5.667 63.900 26.48 26.27 15.83 914.1 899.8 906.9 -0.02035 0.03374 0.006692 374.9
16000.0 10505 -8.181 63.830 -2.240 62.686 24.2 23.84 15.97 890.4 858.8 874.6 0.119 0.1837 0.1513 374.2
