 #VirtualDetector/det-1                                                          
  output from Ecalc9 version 2 
  settings: 
    particle type:            0
    pzmin/pzmax:    0.0000000000000000      /   0.0000000000000000     
    transverse cuts:    0.0000000000000000        0.0000000000000000     
    longitudinal cut:    0.0000000000000000     
    RF frequency (MHz):    0.0000000000000000     
    sigma cut:    0.0000000000000000     
    subtract out amplitude correlation

regn #   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
    46  0.1590E+02  0.3281E+01  0.6588E-02  0.8088E-02  0.1037E-05 -0.1257E+00  0.1949E+00  0.6638E+00  0.1621E+00  0.1385E+02 -0.2991E+01  0.1000E+03  0.1000E+03  0.1000E+03 -0.1018E-01  0.9647E-02  0.1243E-08  0.2777E-01  0.2927E-07  0.9615E-02 -0.1814E-01 -0.9475E-02  0.2176E-01 -0.2242E-01  0.2475E-01  0.2248E+00
    47  0.1625E+02 -0.3119E-03  0.6654E-02  0.9852E-02  0.1109E-05 -0.4030E-01  0.1982E+00  0.4022E+00  0.7322E-01  0.1238E+02 -0.2478E+01  0.1000E+03  0.1000E+03  0.1000E+03 -0.6480E-02  0.9647E-02  0.1287E-08  0.1952E-01  0.2764E-07  0.9628E-02 -0.1284E-01  0.1238E-01  0.1279E-01 -0.1207E-01  0.5679E-01  0.1835E+00
    48  0.1660E+02 -0.3281E+01  0.6545E-02  0.9097E-02  0.1110E-05  0.2510E-01  0.1963E+00  0.5839E+00 -0.1479E+00  0.1396E+02 -0.2796E+01  0.1000E+03  0.1000E+03  0.1000E+03 -0.3486E-02  0.9647E-02  0.1326E-08  0.2890E-01  0.3202E-07  0.9614E-02 -0.1366E-01  0.1554E-01 -0.6857E-02  0.3963E-01  0.9986E-01  0.2432E+00
    49  0.1695E+02 -0.3119E-03  0.6615E-02  0.8859E-02  0.1080E-05 -0.3092E-01  0.1986E+00  0.5206E+00 -0.8149E-01  0.1473E+02 -0.2900E+01  0.1000E+03  0.1000E+03  0.1000E+03 -0.6736E-02  0.9647E-02  0.1361E-08  0.2203E-01  0.3056E-07  0.9623E-02 -0.1221E-01  0.1736E-01 -0.1006E+00  0.3563E-01  0.1665E+00  0.2660E+00
    50  0.1730E+02  0.3280E+01  0.6593E-02  0.8573E-02  0.1097E-05 -0.9829E-01  0.1948E+00  0.6693E+00  0.6026E-01  0.1554E+02 -0.3089E+01  0.1000E+03  0.1000E+03  0.1000E+03 -0.1038E-01  0.9647E-02  0.1398E-08  0.2555E-01  0.3287E-07  0.9618E-02  0.1255E-01  0.2326E-01 -0.1738E+00  0.1054E+00  0.1881E+00  0.4005E+00
    51  0.1765E+02 -0.3013E-03  0.6667E-02  0.8683E-02  0.1129E-05 -0.4480E-01  0.1985E+00  0.4666E+00  0.1195E+00  0.1631E+02 -0.3105E+01  0.1000E+03  0.1000E+03  0.1000E+03 -0.6779E-02  0.9647E-02  0.1432E-08  0.2461E-01  0.3497E-07  0.9622E-02  0.2196E-01  0.7369E-03 -0.4394E-01  0.2357E+00  0.1044E+00  0.2744E+00
    52  0.1800E+02 -0.3281E+01  0.6904E-02  0.9338E-02  0.1158E-05 -0.6105E-03  0.1963E+00  0.5038E+00  0.2922E-01  0.1468E+02 -0.2843E+01  0.1000E+03  0.1000E+03  0.1000E+03 -0.4473E-02  0.9647E-02  0.1466E-08  0.1031E-01  0.3111E-07  0.9640E-02  0.1943E-01  0.1099E-02 -0.6866E-01  0.1871E+00 -0.6197E-02  0.2032E+00
    53  0.1835E+02 -0.3229E-03  0.7810E-02  0.2152E-01  0.2694E-05 -0.2613E-01  0.1981E+00  0.5102E+00 -0.1790E+00  0.1016E+02 -0.1297E+01  0.1010E+03  0.1010E+03  0.1010E+03 -0.6935E-02  0.9626E-02  0.2403E-08 -0.5552E-02  0.3754E-07  0.9621E-02  0.1762E-01 -0.3225E-02 -0.2290E-01  0.9639E-01  0.4527E-01  0.1671E+00
    54  0.1870E+02  0.3280E+01  0.7498E-02  0.1147E-01  0.2155E-05 -0.1053E+00  0.1945E+00  0.6230E+00  0.1009E+00  0.1496E+02 -0.2578E+01  0.1000E+03  0.1000E+03  0.1000E+03 -0.1002E-01  0.9647E-02  0.2296E-08  0.3413E-02  0.4152E-07  0.9645E-02  0.3323E-02 -0.2073E-01  0.1916E+00 -0.5914E-01  0.1880E+00  0.2668E+00
    55  0.1905E+02 -0.2967E-03  0.7971E-02  0.1260E-01  0.2308E-05 -0.5890E-01  0.1982E+00  0.4704E+00 -0.5762E-01  0.1405E+02 -0.2316E+01  0.1000E+03  0.1000E+03  0.1000E+03 -0.6247E-02  0.9647E-02  0.2359E-08 -0.2578E-03  0.3597E-07  0.9647E-02 -0.1475E-01 -0.1130E-01  0.7727E-01 -0.3620E+00  0.2498E+00  0.2117E+00
    56  0.1940E+02 -0.3281E+01  0.6677E-02  0.1039E-01  0.8943E-06 -0.4165E-01  0.1966E+00  0.5584E+00  0.2426E-01  0.1471E+02 -0.2673E+01  0.9900E+02  0.9900E+02  0.9900E+02 -0.3802E-02  0.9667E-02  0.1322E-08  0.3092E-01  0.2673E-07  0.9628E-02 -0.9608E-02 -0.1500E-01  0.1639E+00 -0.3703E+00  0.6811E-01  0.1791E+00
    57  0.1975E+02 -0.3238E-03  0.6542E-02  0.1012E-01  0.8746E-06 -0.8659E-01  0.1987E+00  0.4690E+00 -0.4235E-01  0.1619E+02 -0.2832E+01  0.9900E+02  0.9900E+02  0.9900E+02 -0.5896E-02  0.9667E-02  0.1345E-08  0.4144E-01  0.2859E-07  0.9605E-02 -0.5284E-02 -0.1024E-01  0.1525E+00 -0.2087E+00  0.4519E-01  0.7403E-01
